year,race_date,datetime_utc,datetime_local,pollutant,value,units
2017,2017-04-17,2017-04-17T14:00:00Z,2017-04-17T10:00:00-04:00,pm25,1.0,ug/m3
2017,2017-04-17,2017-04-17T15:00:00Z,2017-04-17T11:00:00-04:00,pm25,2.0,ug/m3
2017,2017-04-17,2017-04-17T16:00:00Z,2017-04-17T12:00:00-04:00,pm25,1.0,ug/m3
2017,2017-04-17,2017-04-17T14:00:00Z,2017-04-17T10:00:00-04:00,o3,0.044,ppm
2017,2017-04-17,2017-04-17T15:00:00Z,2017-04-17T11:00:00-04:00,o3,0.046,ppm
2017,2017-04-17,2017-04-17T16:00:00Z,2017-04-17T12:00:00-04:00,o3,0.048,ppm
2017,2017-04-17,2017-04-17T17:00:00Z,2017-04-17T13:00:00-04:00,o3,0.047,ppm
2017,2017-04-17,2017-04-17T14:00:00Z,2017-04-17T10:00:00-04:00,no2,0.006,ppm
2017,2017-04-17,2017-04-17T15:00:00Z,2017-04-17T11:00:00-04:00,no2,0.006,ppm
2017,2017-04-17,2017-04-17T16:00:00Z,2017-04-17T12:00:00-04:00,no2,0.005,ppm
2017,2017-04-17,2017-04-17T17:00:00Z,2017-04-17T13:00:00-04:00,no2,0.005,ppm
2018,2018-04-16,2018-04-16T14:00:00Z,2018-04-16T10:00:00-04:00,pm25,6.0,ug/m3
2018,2018-04-16,2018-04-16T15:00:00Z,2018-04-16T11:00:00-04:00,pm25,6.0,ug/m3
2018,2018-04-16,2018-04-16T16:00:00Z,2018-04-16T12:00:00-04:00,pm25,6.0,ug/m3
2018,2018-04-16,2018-04-16T14:00:00Z,2018-04-16T10:00:00-04:00,o3,0.037,ppm
2018,2018-04-16,2018-04-16T15:00:00Z,2018-04-16T11:00:00-04:00,o3,0.039,ppm
2018,2018-04-16,2018-04-16T16:00:00Z,2018-04-16T12:00:00-04:00,o3,0.039,ppm
2018,2018-04-16,2018-04-16T14:00:00Z,2018-04-16T10:00:00-04:00,no2,0.009,ppm
2018,2018-04-16,2018-04-16T15:00:00Z,2018-04-16T11:00:00-04:00,no2,0.009,ppm
2018,2018-04-16,2018-04-16T16:00:00Z,2018-04-16T12:00:00-04:00,no2,0.009,ppm
2019,2019-04-15,2019-04-15T14:00:00Z,2019-04-15T10:00:00-04:00,pm25,5.0,ug/m3
2019,2019-04-15,2019-04-15T15:00:00Z,2019-04-15T11:00:00-04:00,pm25,2.0,ug/m3
2019,2019-04-15,2019-04-15T16:00:00Z,2019-04-15T12:00:00-04:00,pm25,1.0,ug/m3
2019,2019-04-15,2019-04-15T17:00:00Z,2019-04-15T13:00:00-04:00,pm25,1.0,ug/m3
2019,2019-04-15,2019-04-15T14:00:00Z,2019-04-15T10:00:00-04:00,o3,0.05,ppm
2019,2019-04-15,2019-04-15T15:00:00Z,2019-04-15T11:00:00-04:00,o3,0.055,ppm
2019,2019-04-15,2019-04-15T16:00:00Z,2019-04-15T12:00:00-04:00,o3,0.057,ppm
2019,2019-04-15,2019-04-15T17:00:00Z,2019-04-15T13:00:00-04:00,o3,0.06,ppm
2019,2019-04-15,2019-04-15T14:00:00Z,2019-04-15T10:00:00-04:00,no2,0.009,ppm
2019,2019-04-15,2019-04-15T15:00:00Z,2019-04-15T11:00:00-04:00,no2,0.007,ppm
2019,2019-04-15,2019-04-15T16:00:00Z,2019-04-15T12:00:00-04:00,no2,0.007,ppm
2019,2019-04-15,2019-04-15T17:00:00Z,2019-04-15T13:00:00-04:00,no2,0.005,ppm
2021,2021-10-11,2021-10-11T14:00:00Z,2021-10-11T10:00:00-04:00,pm25,4.0,ug/m3
2021,2021-10-11,2021-10-11T15:00:00Z,2021-10-11T11:00:00-04:00,pm25,4.0,ug/m3
2021,2021-10-11,2021-10-11T16:00:00Z,2021-10-11T12:00:00-04:00,pm25,5.0,ug/m3
2021,2021-10-11,2021-10-11T17:00:00Z,2021-10-11T13:00:00-04:00,pm25,4.0,ug/m3
2021,2021-10-11,2021-10-11T14:00:00Z,2021-10-11T10:00:00-04:00,o3,0.026,ppm
2021,2021-10-11,2021-10-11T15:00:00Z,2021-10-11T11:00:00-04:00,o3,0.031,ppm
2021,2021-10-11,2021-10-11T16:00:00Z,2021-10-11T12:00:00-04:00,o3,0.033,ppm
2021,2021-10-11,2021-10-11T17:00:00Z,2021-10-11T13:00:00-04:00,o3,0.033,ppm
2021,2021-10-11,2021-10-11T14:00:00Z,2021-10-11T10:00:00-04:00,no2,0.006,ppm
2021,2021-10-11,2021-10-11T15:00:00Z,2021-10-11T11:00:00-04:00,no2,0.004,ppm
2021,2021-10-11,2021-10-11T16:00:00Z,2021-10-11T12:00:00-04:00,no2,0.003,ppm
2021,2021-10-11,2021-10-11T17:00:00Z,2021-10-11T13:00:00-04:00,no2,0.004,ppm
2022,2022-04-18,2022-04-18T14:00:00Z,2022-04-18T10:00:00-04:00,pm25,3.0,ug/m3
2022,2022-04-18,2022-04-18T15:00:00Z,2022-04-18T11:00:00-04:00,pm25,3.0,ug/m3
2022,2022-04-18,2022-04-18T16:00:00Z,2022-04-18T12:00:00-04:00,pm25,3.0,ug/m3
2022,2022-04-18,2022-04-18T17:00:00Z,2022-04-18T13:00:00-04:00,pm25,3.0,ug/m3
2022,2022-04-18,2022-04-18T14:00:00Z,2022-04-18T10:00:00-04:00,o3,0.029,ppm
2022,2022-04-18,2022-04-18T15:00:00Z,2022-04-18T11:00:00-04:00,o3,0.032,ppm
2022,2022-04-18,2022-04-18T16:00:00Z,2022-04-18T12:00:00-04:00,o3,0.033,ppm
2022,2022-04-18,2022-04-18T17:00:00Z,2022-04-18T13:00:00-04:00,o3,0.033,ppm
2022,2022-04-18,2022-04-18T14:00:00Z,2022-04-18T10:00:00-04:00,no2,0.007,ppm
2022,2022-04-18,2022-04-18T15:00:00Z,2022-04-18T11:00:00-04:00,no2,0.004,ppm
2022,2022-04-18,2022-04-18T16:00:00Z,2022-04-18T12:00:00-04:00,no2,0.003,ppm
2022,2022-04-18,2022-04-18T17:00:00Z,2022-04-18T13:00:00-04:00,no2,0.005,ppm
2023,2023-04-17,2023-04-17T14:00:00Z,2023-04-17T10:00:00-04:00,pm25,5.0,ug/m3
2023,2023-04-17,2023-04-17T15:00:00Z,2023-04-17T11:00:00-04:00,pm25,5.0,ug/m3
2023,2023-04-17,2023-04-17T16:00:00Z,2023-04-17T12:00:00-04:00,pm25,5.0,ug/m3
2023,2023-04-17,2023-04-17T17:00:00Z,2023-04-17T13:00:00-04:00,pm25,5.0,ug/m3
2023,2023-04-17,2023-04-17T14:00:00Z,2023-04-17T10:00:00-04:00,o3,0.017,ppm
2023,2023-04-17,2023-04-17T15:00:00Z,2023-04-17T11:00:00-04:00,o3,0.024,ppm
2023,2023-04-17,2023-04-17T16:00:00Z,2023-04-17T12:00:00-04:00,o3,0.025,ppm
2023,2023-04-17,2023-04-17T17:00:00Z,2023-04-17T13:00:00-04:00,o3,0.024,ppm
2023,2023-04-17,2023-04-17T14:00:00Z,2023-04-17T10:00:00-04:00,no2,0.019,ppm
2023,2023-04-17,2023-04-17T15:00:00Z,2023-04-17T11:00:00-04:00,no2,0.013,ppm
2023,2023-04-17,2023-04-17T16:00:00Z,2023-04-17T12:00:00-04:00,no2,0.01,ppm
2023,2023-04-17,2023-04-17T17:00:00Z,2023-04-17T13:00:00-04:00,no2,0.009,ppm
2024,2024-04-15,2024-04-15T14:00:00Z,2024-04-15T10:00:00-04:00,pm25,6.8,ug/m3
2024,2024-04-15,2024-04-15T15:00:00Z,2024-04-15T11:00:00-04:00,pm25,6.2,ug/m3
2024,2024-04-15,2024-04-15T16:00:00Z,2024-04-15T12:00:00-04:00,pm25,6.8,ug/m3
2024,2024-04-15,2024-04-15T17:00:00Z,2024-04-15T13:00:00-04:00,pm25,6.9,ug/m3
2024,2024-04-15,2024-04-15T14:00:00Z,2024-04-15T10:00:00-04:00,o3,0.034,ppm
2024,2024-04-15,2024-04-15T15:00:00Z,2024-04-15T11:00:00-04:00,o3,0.038,ppm
2024,2024-04-15,2024-04-15T16:00:00Z,2024-04-15T12:00:00-04:00,o3,0.044,ppm
2024,2024-04-15,2024-04-15T17:00:00Z,2024-04-15T13:00:00-04:00,o3,0.05,ppm
2024,2024-04-15,2024-04-15T14:00:00Z,2024-04-15T10:00:00-04:00,no2,0.006,ppm
2024,2024-04-15,2024-04-15T15:00:00Z,2024-04-15T11:00:00-04:00,no2,0.005,ppm
2024,2024-04-15,2024-04-15T16:00:00Z,2024-04-15T12:00:00-04:00,no2,0.004,ppm
2024,2024-04-15,2024-04-15T17:00:00Z,2024-04-15T13:00:00-04:00,no2,0.004,ppm
2025,2025-04-21,2025-04-21T14:00:00Z,2025-04-21T10:00:00-04:00,pm25,3.1,ug/m3
2025,2025-04-21,2025-04-21T15:00:00Z,2025-04-21T11:00:00-04:00,pm25,3.2,ug/m3
2025,2025-04-21,2025-04-21T16:00:00Z,2025-04-21T12:00:00-04:00,pm25,2.8,ug/m3
2025,2025-04-21,2025-04-21T17:00:00Z,2025-04-21T13:00:00-04:00,pm25,2.8,ug/m3
2025,2025-04-21,2025-04-21T14:00:00Z,2025-04-21T10:00:00-04:00,o3,0.039,ppm
2025,2025-04-21,2025-04-21T15:00:00Z,2025-04-21T11:00:00-04:00,o3,0.04,ppm
2025,2025-04-21,2025-04-21T16:00:00Z,2025-04-21T12:00:00-04:00,o3,0.04,ppm
2025,2025-04-21,2025-04-21T17:00:00Z,2025-04-21T13:00:00-04:00,o3,0.04,ppm
2025,2025-04-21,2025-04-21T14:00:00Z,2025-04-21T10:00:00-04:00,no2,0.0046,ppm
2025,2025-04-21,2025-04-21T15:00:00Z,2025-04-21T11:00:00-04:00,no2,0.0034,ppm
2025,2025-04-21,2025-04-21T16:00:00Z,2025-04-21T12:00:00-04:00,no2,0.0032,ppm
2025,2025-04-21,2025-04-21T17:00:00Z,2025-04-21T13:00:00-04:00,no2,0.0033,ppm
2026,2026-04-20,2026-04-20T14:00:00Z,2026-04-20T10:00:00-04:00,pm25,3.2,ug/m3
2026,2026-04-20,2026-04-20T15:00:00Z,2026-04-20T11:00:00-04:00,pm25,3.2,ug/m3
2026,2026-04-20,2026-04-20T16:00:00Z,2026-04-20T12:00:00-04:00,pm25,3.3,ug/m3
2026,2026-04-20,2026-04-20T17:00:00Z,2026-04-20T13:00:00-04:00,pm25,3.0,ug/m3
2026,2026-04-20,2026-04-20T14:00:00Z,2026-04-20T10:00:00-04:00,o3,0.039,ppm
2026,2026-04-20,2026-04-20T15:00:00Z,2026-04-20T11:00:00-04:00,o3,0.04,ppm
2026,2026-04-20,2026-04-20T16:00:00Z,2026-04-20T12:00:00-04:00,o3,0.04,ppm
2026,2026-04-20,2026-04-20T17:00:00Z,2026-04-20T13:00:00-04:00,o3,0.04,ppm
2026,2026-04-20,2026-04-20T14:00:00Z,2026-04-20T10:00:00-04:00,no2,0.004,ppm
2026,2026-04-20,2026-04-20T15:00:00Z,2026-04-20T11:00:00-04:00,no2,0.005,ppm
2026,2026-04-20,2026-04-20T16:00:00Z,2026-04-20T12:00:00-04:00,no2,0.005,ppm
2026,2026-04-20,2026-04-20T17:00:00Z,2026-04-20T13:00:00-04:00,no2,0.004,ppm
