display_name,age,gender,residence,pace,finish_time,overall,gender_result,division_result,seconds,first_name,last_name,year,race_date,place_overall,bib,name,city,state,country_residence,contry_citizenship,name_suffix,5k,10k,15k,20k,half,25k,30k,35k,40k,projected_time,avg_temp_f,avg_feelslike_f,avg_wind_mph,avg_humidity,total_precip_in,daily_maxtemp_f,daily_mintemp_f,daily_totalprecip_in,avg_no2,avg_o3,avg_pm25
Rita Jeptoo,25.0,F,Eldoret,00:05:28,2:23:38,24.0,1.0,1.0,8618.0,Rita,Jeptoo,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelena Prokopcuka,29.0,F,Jurmala,00:05:29,2:23:48,25.0,2.0,2.0,8628.0,Jelena,Prokopcuka,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reiko Tosa,29.0,F,Ehime,00:05:29,2:24:11,26.0,3.0,3.0,8651.0,Reiko,Tosa,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruna Genovese,29.0,F,,00:05:32,2:25:28,29.0,4.0,4.0,8728.0,Bruna,Genovese,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiyoko Shimahara,29.0,F,Yamaguchi,00:05:36,2:26:52,32.0,5.0,5.0,8812.0,Kiyoko,Shimahara,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alevtina Biktimirova,23.0,F,Cheboksary,00:05:36,2:26:58,34.0,6.0,1.0,8818.0,Alevtina,Biktimirova,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivera Jevtic,28.0,F,Titovo Uzice,00:05:42,2:29:38,42.0,7.0,6.0,8978.0,Olivera,Jevtic,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madina Biktagirova,41.0,F,Albufeira,00:05:43,2:30:06,46.0,8.0,1.0,9006.0,Madina,Biktagirova,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olesya Nurgalieva,29.0,F,Perm,00:05:43,2:30:16,49.0,9.0,7.0,9016.0,Olesya,Nurgalieva,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zivile Balciunaite,27.0,F,Vilnius,00:05:48,2:32:16,57.0,10.0,8.0,9136.0,Zivile,Balciunaite,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chika Horie,25.0,F,Chiba,00:05:53,2:34:40,74.0,11.0,9.0,9280.0,Chika,Horie,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatiana Titova,40.0,F,Gainesville,00:05:59,2:36:57,96.0,12.0,2.0,9417.0,Tatiana,Titova,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMILY LEVAN,33.0,F,,00:05:59,2:37:01,98.0,13.0,1.0,9421.0,EMILY,LEVAN,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kutre Dulecha,27.0,F,Sidamo,00:05:59,2:37:08,99.0,14.0,10.0,9428.0,Kutre,Dulecha,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svetlana Demidenko,30.0,F,Albufeira,00:06:05,2:39:53,134.0,15.0,2.0,9593.0,Svetlana,Demidenko,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Lilienthal,24.0,F,Philadelphia,00:06:07,2:40:23,142.0,16.0,2.0,9623.0,Michelle,Lilienthal,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Rorke,22.0,F,,00:06:13,2:43:08,197.0,17.0,3.0,9788.0,Michelle,Rorke,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Graytock,27.0,F,Cambridge,00:06:13,2:43:19,200.0,18.0,11.0,9799.0,Carly,Graytock,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melisa Christian,29.0,F,,00:06:21,2:46:30,286.0,19.0,12.0,9990.0,Melisa,Christian,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tere Stouffer,40.0,F,Sevierville,00:06:25,2:48:15,352.0,20.0,3.0,10095.0,Tere,Stouffer,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenny Deweese,28.0,F,,00:06:26,2:49:07,381.0,21.0,13.0,10147.0,Jenny,Deweese,2006,2006-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
