year,race_date,display_name,age,gender,residence,finish_time,seconds,overall,gender_result,division_result,pace,avg_temp_f,avg_feelslike_f,avg_wind_mph,avg_humidity,total_precip_in,daily_maxtemp_f,daily_mintemp_f,daily_totalprecip_in,avg_no2,avg_o3,avg_pm25
2010,2010-04-19,Teyba Erkesso,27.0,F,Arsi,2:26:11,8771.0,42.0,1.0,1.0,00:05:34,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Tatyana Pushkareva,24.0,F,Perm,2:26:14,8774.0,43.0,2.0,1.0,00:05:34,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Salina Kosgei,33.0,F,Eldoret,2:28:35,8915.0,58.0,3.0,1.0,00:05:40,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Waynishet Girma,24.0,F,Addis Ababa,2:28:36,8916.0,61.0,4.0,2.0,00:05:40,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Bruna Genovese,33.0,F,Volpago Del Montello,2:29:12,8952.0,67.0,5.0,2.0,00:05:41,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Lidiya Grigoryeva,36.0,F,Cheboksory,2:30:31,9031.0,81.0,6.0,1.0,00:05:44,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Yurika Nakamura,24.0,F,Okayama City,2:30:40,9040.0,83.0,7.0,3.0,00:05:44,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Weiwei Sun,25.0,F,Liaoning,2:31:14,9074.0,89.0,8.0,2.0,00:05:46,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Nailya Yulamanova,29.0,F,Cheboksary,2:31:48,9108.0,90.0,9.0,3.0,00:05:47,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Albina Mayorova-Ivanova,32.0,F,Cheboksary,2:31:55,9115.0,92.0,10.0,3.0,00:05:47,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Agnes Kiprop,30.0,F,Marakwet,2:33:21,9201.0,106.0,11.0,4.0,00:05:50,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Koren Yal,23.0,F,Shewa,2:33:48,9228.0,111.0,12.0,4.0,00:05:51,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Paige Higgins,27.0,F,Flagstaff,2:36:00,9360.0,135.0,13.0,4.0,00:05:56,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
2010,2010-04-19,Madai Perez,30.0,F,Tlaxcala,2:36:04,9364.0,136.0,14.0,5.0,00:05:57,53.42,49.96,10.98,53.4,0.0,56.8,39.4,0.0,,,
