year,race_date,datetime,hour,temp_f,feelslike_f,wind_mph,wind_degree,wind_dir,humidity,precip_in,condition,daily_maxtemp_f,daily_mintemp_f,daily_avgtemp_f,daily_maxwind_mph,daily_totalprecip_in,daily_avghumidity
2010,2010-04-19,2010-04-19 10:00:00,10,51.1,46.7,12.5,334,NNW,54,0.0,Sunny,56.8,39.4,48.3,13.2,0.0,69
2010,2010-04-19,2010-04-19 11:00:00,11,52.3,48.3,11.7,336,NNW,54,0.0,Sunny,56.8,39.4,48.3,13.2,0.0,69
2010,2010-04-19,2010-04-19 12:00:00,12,53.4,50.0,11.0,338,NNW,53,0.0,Sunny,56.8,39.4,48.3,13.2,0.0,69
2010,2010-04-19,2010-04-19 13:00:00,13,54.6,51.6,10.2,339,NNW,53,0.0,Sunny,56.8,39.4,48.3,13.2,0.0,69
2010,2010-04-19,2010-04-19 14:00:00,14,55.7,53.2,9.5,341,NNW,53,0.0,Sunny,56.8,39.4,48.3,13.2,0.0,69
2011,2011-04-18,2011-04-18 10:00:00,10,51.3,46.8,12.9,260,W,45,0.0,Sunny,57.4,41.8,49.4,14.5,0.0,69
2011,2011-04-18,2011-04-18 11:00:00,11,53.5,50.1,11.3,257,WSW,43,0.0,Sunny,57.4,41.8,49.4,14.5,0.0,69
2011,2011-04-18,2011-04-18 12:00:00,12,55.8,53.3,9.6,254,WSW,41,0.0,Sunny,57.4,41.8,49.4,14.5,0.0,69
2011,2011-04-18,2011-04-18 13:00:00,13,56.3,54.0,9.3,249,WSW,45,0.0,Partly cloudy,57.4,41.8,49.4,14.5,0.0,69
2011,2011-04-18,2011-04-18 14:00:00,14,56.8,54.8,9.0,243,WSW,48,0.0,Partly cloudy,57.4,41.8,49.4,14.5,0.0,69
2012,2012-04-16,2012-04-16 10:00:00,10,73.5,76.5,8.1,179,S,50,0.0,Sunny,80.8,58.8,67.3,16.3,0.11,69
2012,2012-04-16,2012-04-16 11:00:00,11,77.7,78.5,8.5,179,S,45,0.0,Sunny,80.8,58.8,67.3,16.3,0.11,69
2012,2012-04-16,2012-04-16 12:00:00,12,79.9,79.8,8.9,180,S,40,0.0,Sunny,80.8,58.8,67.3,16.3,0.11,69
2012,2012-04-16,2012-04-16 13:00:00,13,79.8,79.9,11.4,183,S,41,0.0,Sunny,80.8,58.8,67.3,16.3,0.11,69
2012,2012-04-16,2012-04-16 14:00:00,14,80.8,80.9,13.9,186,S,42,0.0,Sunny,80.8,58.8,67.3,16.3,0.11,69
2013,2013-04-15,2013-04-15 10:00:00,10,51.4,50.7,3.7,106,ESE,47,0.0,Sunny,53.4,38.7,45.4,9.4,0.0,69
2013,2013-04-15,2013-04-15 11:00:00,11,52.0,50.3,5.5,116,ESE,45,0.0,Sunny,53.4,38.7,45.4,9.4,0.0,69
2013,2013-04-15,2013-04-15 12:00:00,12,52.5,50.1,7.4,127,SE,44,0.0,Sunny,53.4,38.7,45.4,9.4,0.0,69
2013,2013-04-15,2013-04-15 13:00:00,13,52.4,49.7,8.1,130,SE,48,0.0,Partly cloudy,53.4,38.7,45.4,9.4,0.0,69
2013,2013-04-15,2013-04-15 14:00:00,14,53.4,50.6,8.7,134,SE,53,0.0,Partly cloudy,53.4,38.7,45.4,9.4,0.0,69
2014,2014-04-21,2014-04-21 10:00:00,10,56.2,54.1,8.6,198,SSW,42,0.0,Sunny,63.5,35.4,49.4,12.1,0.0,66
2014,2014-04-21,2014-04-21 11:00:00,11,58.9,57.3,8.8,184,S,40,0.0,Sunny,63.5,35.4,49.4,12.1,0.0,66
2014,2014-04-21,2014-04-21 12:00:00,12,61.3,61.3,8.9,171,S,37,0.0,Sunny,63.5,35.4,49.4,12.1,0.0,66
2014,2014-04-21,2014-04-21 13:00:00,13,63.4,63.4,10.0,179,S,39,0.0,Sunny,63.5,35.4,49.4,12.1,0.0,66
2014,2014-04-21,2014-04-21 14:00:00,14,63.4,63.4,11.0,186,S,41,0.0,Sunny,63.5,35.4,49.4,12.1,0.0,66
2015,2015-04-20,2015-04-20 10:00:00,10,46.1,39.8,14.2,110,ESE,86,0.0,Overcast,53.7,41.0,46.8,18.6,0.81,90
2015,2015-04-20,2015-04-20 11:00:00,11,46.3,40.3,13.5,110,ESE,88,0.0,Patchy rain possible,53.7,41.0,46.8,18.6,0.81,90
2015,2015-04-20,2015-04-20 12:00:00,12,46.6,40.9,12.8,109,ESE,91,0.02,Moderate rain at times,53.7,41.0,46.8,18.6,0.81,90
2015,2015-04-20,2015-04-20 13:00:00,13,47.4,41.4,14.7,114,ESE,92,0.04,Heavy rain at times,53.7,41.0,46.8,18.6,0.81,90
2015,2015-04-20,2015-04-20 14:00:00,14,48.3,42.0,16.6,119,ESE,94,0.08,Moderate or heavy rain shower,53.7,41.0,46.8,18.6,0.81,90
